Strategy,Query,Latency,Recall,Groundedness,Hallucination,Details
BM25 Only,Ի՞նչ տուգանք է նախատեսված կարմիր լույսի տակով անցն...,10.67,1.0,0.806,0.194,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9128409822781881), 'claims_checked': 3, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Վարչական իրավախախտումների վերաբերյալ ՀՀ օրենսգիրք, հոդված 93', 'ՀՀ Քաղաքացիական դատավարության օրենսգիրք, հոդված 155', 'բույսեր հավաքելուն'], 'grounded': False}}"
BM25 Only,Ովքե՞ր ունեն զինվորական ծառայությունից տարկետման ի...,7.34,0.0,0.621,0.379,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9418551921844482), 'claims_checked': 1, 'llm_verification': {'score': 0.0, 'hallucinated_claims': ['ՀՀ քրեական օրենսգրքի 461-րդ հոդվածում միայն նշվում է, որ տարկետում ստանալու կամ ծառայությունից ազատվելու հիմքերը սահմանվում են օրենսդրությամբ:', 'Ըստ այդ հոդվածիő պարտադիր զինվորական կամ այլընտրանքային ծառայության զորակոչից խուսափելը քրեորեն պատժելի արարք է, եթե անձը չունի օրենսդրությամբ սահմանված տարկետման կամ ծառայությունից ազատվելու հիմքեր:', 'Հոդված 461- ի առկաջութջունը տրամադրված տեքստում:'], 'grounded': False}}"
BM25 Only,Հնարավո՞ր է արդյոք բողոքարկել վարչական ակտը դատարա...,11.96,1.0,0.961,0.039,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.922982656955719), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
BM25 Only,Ի՞նչ է նշանակում անմեղության կանխավարկած:,12.79,1.0,0.878,0.122,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9361705183982849), 'claims_checked': 5, 'llm_verification': {'score': 0.7, 'hallucinated_claims': ['այն պետք է հաստատվի գործին վերաբերող փոխկապակցված հավաստի ապացույցների բավարար ամբողջությամբ', 'Կասկածյալի կամ մեղադրյալի նկատմամբ կիրառվող խափանման միջոցները չեն կարող պարունակել պատժի տարրեր'], 'grounded': False}}"
BM25 Only,Ինչպե՞ս գրանցել ՍՊԸ Հայաստանում:,11.65,1.0,0.748,0.252,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9152868628501892), 'claims_checked': 5, 'llm_verification': {'score': 0.3, 'hallucinated_claims': ['Այն պետք է համապատասխանի «Սահմանափակ պատասխանատվությամբ ընկերությունների մասին» օրենքով սահմանված նվազագույն չափին', 'Չի թույլատրվում ընկերության մասնակցին ազատել կանոնադրական կապիտալում ավանդ ներդնելու պարտականությունից [Աղբյուր՝ ՀՀ ՔԱՂԱՔԱՑԻԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf, Հոդված 98, կետ 3]', 'Եթե երկրորդ կամ յուրաքանչյուր հաջորդ ֆինանսական տարվա ավարտից հետո ընկերության զուտ ակտիվների արժեքը պակաս է դառնում կանոնադրական կապիտալից, ընկերությունը պարտավոր է հայտարարել իր կանոնադրական կապիտալի նվազման մասին և սահմանված կարգով գրանցել դրա նվազումը [Աղբյուր՝ ՀՀ ՔԱՂԱՔԱՑԻԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf, Հոդված 98, կետ 4]'], 'grounded': False}}"
BM25 Only,Ո՞ր դեպքերում է թույլատրվում արտաժամյա աշխատանքը:,8.32,1.0,0.718,0.282,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9155243754386901), 'claims_checked': 5, 'llm_verification': {'score': 0.2, 'hallucinated_claims': [""դրա դադարեցումը կարող է առաջացնել նյութերի փչացում, ոչնչացում կամ սարքավորումների անսարքություն (The context provided cuts off at 'և եթե ս')"", 'Այնպիսի մեխանիզմների կամ սարքավորումների նորոգման կամ վերականգնման աշխատանքներ, որոնց անսարքության պատճառով ընդհատվել է զգալի թվով աշխատողների աշխատանքը:', 'Եթե աշխատանքի չի ներկայացել հերթափոխային աշխատողը, ինչը կարող է խաթարել աշխատանքի անընդհատությունը (այս դեպքում գործատուն պետք է անհապաղ միջոցներ ձեռնարկի փոխարինող գտնելու համար):', 'Տրանսպորտային միջոցների պարապուրդը կամ բեռների կուտակումը կանխելու, ինչպես նաև կազմակերպության պահեստներն ազատելու համար:', 'Երբ առկա է գործատուի պայմանագրային պարտավորությունների անհապաղ կատարման անհրաժեշտություն:', 'Արտաժամյա աշխատանքի ներգրավելու դեպքում գործատուն պարտավոր է ողջամիտ ժամկետներում տեղեկացնել աշխատողին (բացառությամբ արտակարգ իրավիճակների և պետության պաշտպանության հետ կապված դեպքերի):'], 'grounded': False}}"
BM25 Only,"Ի՞նչ իրավունքներ ունի սպառողը, եթե ապրանքը թերի է:",10.27,1.0,0.847,0.153,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9343109250068664), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['Պատասխանատու պահպանություն և ծախսերի հատուցում (Հոդված 529, կետ 1, 3)', 'Անպատշաճ որակի ապրանքը վաճառողին վերադարձնելիս գնորդն իրավունք ունի պահանջել վերադարձնելու ապրանքի համար վճարված գումարը (Հոդված 519, կետ 4)'], 'grounded': False}}"
BM25 Only,Որքա՞ն է եկամտային հարկի դրույքաչափը 2025 թվականին...,7.3,1.0,0.965,0.035,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9308221638202667), 'claims_checked': 2, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
BM25 Only,Ինչպե՞ս ստանալ կենսաթոշակ:,4.58,0.0,0.763,0.237,"{'citation_grounding': 0.3, 'nli_entailment': np.float64(0.9251595139503479), 'claims_checked': 2, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['Փոխադրամիջոցների գույքահարկի վերաբերյալ տեղեկատվություն ստանալուն (ՀՀ ՀԱՐԿԱՅԻՆ ՕՐԵՆՍԳԻՐՔ)'], 'grounded': False}}"
BM25 Only,Արդյո՞ք էլեկտրոնային ստորագրությունը իրավական ուժ ...,7.74,1.0,0.963,0.037,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9267890751361847), 'claims_checked': 2, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ինչպե՞ս է կարգավորվում աշխատանքային պայմանագրի լու...,11.1,1.0,0.812,0.188,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.923608148097992), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Ամբողջ 1-ին կետը (Հոդված 109) և դրանում նշված աշխատանքային պայմանագրի լուծման բոլոր հիմքերը:', '3-րդ կետում նշված 5-օրյա ծանուցման ժամկետը և դրա հետ կապված հիմնավորումները (հիվանդություն, աշխատանքային խեղում, գործատուի կողմից օրենքի կամ պայմանագրի խախտում և այլն):'], 'grounded': False}}"
Dense Only,Որո՞նք են հարկային պարտավորության կատարման ժամկետն...,13.93,1.0,0.812,0.188,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9244647264480591), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['2017 թվականի դեկտեմբերի 31-ով ավարտվող հաշվետու ժամանակաշրջաններին վերաբերող հարկային հաշվարկների ներկայացման վերջնաժամկետների մասին պնդումը (տեքստն ընդհատվում է ամսաթվից հետո):', 'ԱԱՀ-ի և ակցիզային հարկի միասնական հաշվարկի ներկայացման վերջնաժամկետի վերաբերյալ հղումը Օրենսգրքի 96-րդ հոդվածի 1-ին մասին:', 'Միկրոձեռնարկատիրության սուբյեկտ համարվելու հայտարարության ներկայացման 20-օրյա ժամկետի մասին պնդումը:', 'Յուրաքանչյուր ժամկետանց օրվա համար 0.075 տոկոս տույժի հաշվարկման վերաբերյալ պնդումը (Հոդված 447, մաս 6):'], 'grounded': False}}"
Dense Only,Կարո՞ղ է արդյոք գործատուն միակողմանի փոփոխել պայմա...,14.62,0.0,0.895,0.105,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.8908585548400879), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ի՞նչ պատասխանատվություն է նախատեսված ապօրինի ձեռնա...,11.2,1.0,0.805,0.195,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9108422040939331), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Պաշտոնատար անձի կողմից ապօրինի մասնակցություն (Հոդված 442) և դրանով նախատեսված բոլոր պատժաչափերը (որոշակի պաշտոններ զբաղեցնելու իրավունքից զրկում, ազատության սահմանափակում, կարճաժամկետ ազատազրկում և այլն):', 'Հոդված 287-ի մանրամասները՝ գույքը, եկամուտը կամ իրավունքները թաքցնելու և խոշոր վնաս պատճառելու վերաբերյալ:'], 'grounded': False}}"
Dense Only,Ինչպե՞ս պատրաստել պիցցա:,4.34,0.0,0.762,0.238,"{'citation_grounding': 0.3, 'nli_entailment': np.float64(0.9242544770240784), 'claims_checked': 2, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['Ներկայացված փաստաթղթերը վերաբերում են ՀՀ ջրային օրենսգրքին:'], 'grounded': False}}"
Dense Only,Ի՞նչ է հանցակցությունը ՀՀ քրեական օրենսգրքով:,14.34,1.0,0.957,0.043,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9149314045906067), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ո՞րն է նվազագույն աշխատավարձի չափը Հայաստանում 202...,9.74,1.0,0.884,0.116,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9273457676172256), 'claims_checked': 4, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ինչպե՞ս է կատարվում ժառանգության ընդունումը:,13.26,1.0,0.842,0.158,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9241869688034058), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['Ժառանգության բաժինների ավելացման վերաբերյալ դրույթները (Հոդված 1232)', 'Հատուկ սուբյեկտների (չծնված երեխաներ, անչափահասներ) շահերի պաշտպանության վերաբերյալ դրույթները (Հոդված 1238)'], 'grounded': False}}"
Dense Only,Կարո՞ղ է ոստիկանը առանց թույլտվության մտնել բնակար...,9.88,1.0,0.816,0.184,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.932628619670868), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Յուրաքանչյուր ոք ունի բնակարանի անձեռնմխելիության իրավունք: Արգելվում է մարդու կամքին հակառակ մուտք գործել նրա բնակարանը, բացառությամբ օրենքով նախատեսված դեպքերի [Աղբյուր՝ ՀՀ ՔՐԵԱԿԱՆ ԴԱՏԱՎԱՐՈՒԹՅԱՆ ՕՐԵՆՍԳԻՐՔ, Հոդված 12, մաս 1]', 'Բնակարանը կարող է խուզարկվել միայն դատարանի որոշմամբ', 'Բնակարանի զննումը, այնտեղ դատավարական այլ գործողություններ կատարելը, ինչպես նաև տեխնիկական միջոցների գործադրմամբ մուտք գործելը բնակեցնող անձանց կամքին հակառակ կարող են կատարվել հետաքննության մարմնի (որի կազմում գործում է ոստիկանությունը), քննիչի կամ դատախազի որոշմամբ [Աղբյուր՝ ՀՀ ՔՐԵԱԿԱՆ ԴԱՏԱՎԱՐՈՒԹՅԱՆ ՕՐԵՆՍԳԻՐՔ, Հոդված 12, մաս 2]'], 'grounded': False}}"
Dense Only,Որո՞նք են ամուսնալուծության հիմքերը դատական ​​կարգ...,8.57,1.0,0.794,0.206,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9450914025306701), 'claims_checked': 5, 'llm_verification': {'score': 0.67, 'hallucinated_claims': ['Ամուսնությունը կարող է դադարել դատարանի կողմից անգործունակ ճանաչված ամուսնու խնամակալի դիմումի հիման վրա:', 'Ամուսինն իրավունք չունի առանց կնոջ համաձայնության ամուսնալուծության դիմում ներկայացնել կնոջ հղիության ընթացքում:'], 'grounded': False}}"
Dense Only,Ի՞նչ տուգանք է նախատեսված կարմիր լույսի տակով անցն...,4.79,1.0,0.89,0.11,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9408074766397476), 'claims_checked': 4, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ովքե՞ր ունեն զինվորական ծառայությունից տարկետման ի...,13.29,0.0,0.966,0.034,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9316942691802979), 'claims_checked': 1, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Հնարավո՞ր է արդյոք բողոքարկել վարչական ակտը դատարա...,10.93,1.0,0.87,0.13,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9004357814788818), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ի՞նչ է նշանակում անմեղության կանխավարկած:,13.69,1.0,0.906,0.094,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.931237804889679), 'claims_checked': 5, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['ՀՀ ՍԱՀՄԱՆԱԴՐՈՒԹՅՈՒՆ, Հոդված 66', '(ողջամիտ) կասկածները'], 'grounded': False}}"
Dense Only,Ինչպե՞ս գրանցել ՍՊԸ Հայաստանում:,10.52,1.0,0.943,0.057,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.8852368891239166), 'claims_checked': 4, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ո՞ր դեպքերում է թույլատրվում արտաժամյա աշխատանքը:,9.66,1.0,0.831,0.169,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9017944812774659), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['Հղի կանայք և մինչև մեկ տարեկան երեխա խնամող աշխատողները կարող են ներգրավվել արտաժամյա աշխատանքի միայն իրենց համաձայնությամբ [Հոդված 144, մաս 4]', 'Հաշմանդամություն ունեցող անձինք կարող են ներգրավվել, եթե դա նրանց արգելված չէ բժշկական եզրակացությամբ [Հոդված 144, մաս 4]'], 'grounded': False}}"
Dense Only,"Ի՞նչ իրավունքներ ունի սպառողը, եթե ապրանքը թերի է:",14.09,1.0,0.9,0.1,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9491001605987549), 'claims_checked': 5, 'llm_verification': {'score': 0.75, 'hallucinated_claims': ['Section 4 regarding Article 529 (Responsible storage/Պատասխանատու պահպանություն) and its associated requirements for the buyer to ensure storage and the supplier to compensate costs are not present in the provided context.'], 'grounded': False}}"
Dense Only,Որքա՞ն է եկամտային հարկի դրույքաչափը 2025 թվականին...,7.99,1.0,0.965,0.035,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9308651685714722), 'claims_checked': 3, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Dense Only,Ինչպե՞ս ստանալ կենսաթոշակ:,8.63,0.0,0.725,0.275,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9105947136878967), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Դատապարտյալներին կենսաթոշակի նշանակումը, վճարումն ու ստացումն իրականացվում են օրենսդրությամբ սահմանված կարգով և դեպքերում [Աղբյուր՝ ՀՀ ՔՐԵԱԿԱՏԱՐՈՂԱԿԱՆ ՕՐԵՆՍԳԻՐՔ.pdf]', 'Ըստ Աշխատանքային օրենսգրքի՝ տարիքային կենսաթոշակի իրավունք ունեցող են համարվում 63 տարին լրացած անձինք, իսկ տարիքային կենսաթոշակի իրավունք չունեցող անձանց դեպքում հիշատակվում է 65 տարին լրանալը [Աղբյուր՝ ՀՀ ԱՇԽԱՏԱՆՔԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf]'], 'grounded': False}}"
Dense Only,Արդյո՞ք էլեկտրոնային ստորագրությունը իրավական ուժ ...,10.74,0.0,0.675,0.325,"{'citation_grounding': 0.6, 'nli_entailment': np.float64(0.9296696662902832), 'claims_checked': 5, 'llm_verification': {'score': 0.3, 'hallucinated_claims': [""The reference to 'ՀՀ ՀԱՐԿԱՅԻՆ ՕՐԵՆՍԳԻՐՔ.pdf' and the claim regarding the Armenian Tax Code's requirements for official electronic signatures."", ""The claim that authorized bodies must confirm the 'իրավաչափության' (lawfulness/legitimacy) of the signature (the context mentions 'իսկության' or authenticity)."", ""The specific claim regarding 'Ավտորիզացում' (Authorization) as a function mentioned in the text."", ""The inclusion of 'ՊՇՏ.pdf' in the source titles which is not present in the provided context.""], 'grounded': False}}"
Hybrid (Ensemble),Ինչպե՞ս է կարգավորվում աշխատանքային պայմանագրի լու...,11.18,1.0,0.818,0.182,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9359379887580872), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['The entire Section 1 regarding Article 109 and the specific grounds for termination listed there (the context does not contain Article 109).', 'The claim in Section 3 that an employee can terminate the contract with a 5-day notice in special cases such as illness, injury, or employer breach (the provided text for Article 112 is incomplete and does not contain these details).'], 'grounded': False}}"
Hybrid (Ensemble),Որո՞նք են հարկային պարտավորության կատարման ժամկետն...,9.92,1.0,0.841,0.159,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9216568470001221), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['2017 թվականի դեկտեմբերի 31-ով ավարտվող հաշվետու ժամանակաշրջաններին վերաբերող հարկային հաշվարկները ներկայացվում են մինչև Օրենսգիրքն ուժի մեջ մտնելը գործող օրենսդրությամբ սահմանված վերջնաժամկետներում:', 'ԱԱՀ և ակցիզային հարկ: Հումքի ներմուծման ճշտված հարկային հայտարարագիրը ներկայացվում է մինչև հաշվետու ժամանակաշրջանի համար ԱԱՀ-ի և ակցիզային հարկի միասնական հաշվարկի ներկայացման համար Օրենսգրքի 96-րդ հոդվածի 1-ին մասով սահմանված վերջնաժամկետի օրը ներառյալ:', 'Հոդված 92-ի վերաբերյալ տեղեկատվությունը:', 'Օրենսգրքի 96-րդ հոդվածի 1-ին մասի վերաբերյալ տեղեկատվությունը:'], 'grounded': False}}"
Hybrid (Ensemble),Կարո՞ղ է արդյոք գործատուն միակողմանի փոփոխել պայմա...,15.03,0.0,0.914,0.086,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9281103014945984), 'claims_checked': 5, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Ի՞նչ պատասխանատվություն է նախատեսված ապօրինի ձեռնա...,10.02,1.0,0.816,0.184,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9323753833770752), 'claims_checked': 5, 'llm_verification': {'score': 0.5, 'hallucinated_claims': ['Պաշտոնատար անձի կողմից ապօրինի մասնակցություն (Հոդված 442) և դրա հետ կապված բոլոր պատժաչափերը և մանրամասները', 'Անօրինական գործունեություն սնանկության ընթացքում (Հոդված 287) մասում նշված կոնկրետ գործողությունները (գույքը թաքցնելը, անշահավետ օտարելը) և խոշոր չափի վնասի պահանջը'], 'grounded': False}}"
Hybrid (Ensemble),Ինչպե՞ս պատրաստել պիցցա:,4.38,0.0,0.76,0.24,"{'citation_grounding': 0.3, 'nli_entailment': np.float64(0.9203042089939117), 'claims_checked': 2, 'llm_verification': {'score': 0.8, 'hallucinated_claims': ['Կից նյութերը վերաբերում են ՀՀ ջրային օրենսգրքին:'], 'grounded': False}}"
Hybrid (Ensemble),Ի՞նչ է հանցակցությունը ՀՀ քրեական օրենսգրքով:,5.96,1.0,0.804,0.196,"{'citation_grounding': 0.3, 'nli_entailment': np.float64(0.8876214623451233), 'claims_checked': 1, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Ո՞րն է նվազագույն աշխատավարձի չափը Հայաստանում 202...,8.12,1.0,0.915,0.085,"{'citation_grounding': 0.75, 'nli_entailment': np.float64(0.9296450217564901), 'claims_checked': 3, 'llm_verification': {'score': 1.0, 'hallucinated_claims': [], 'grounded': True}}"
Hybrid (Ensemble),Ինչպե՞ս է կատարվում ժառանգության ընդունումը:,14.27,1.0,0.837,0.163,"{'citation_grounding': 1.0, 'nli_entailment': np.float64(0.9148201107978821), 'claims_checked': 5, 'llm_verification': {'score': 0.6, 'hallucinated_claims': ['Եթե ժառանգներից որևէ մեկը չի ընդունում ժառանգությունը, հրաժարվում է դրանից (առանց այլ անձի նշելու) կամ մեկուսացվում է, ապա նրան հասանելիք բաժինն անցնում է ըստ օրենքի մյուս ժառանգներին և բաշխվում հավասար բաժիններով: Եթե ամբողջ գույքը կտակված է եղել, ապա այդ բաժինն անցնում է մնացած ըստ կտակի ժառանգներին՝ նրանց բաժիններին համամասնորեն [Աղբյուր՝ Հոդված 1232]', 'Եթե առկա է սաղմնավորված, բայց դեռ չծնված ժառանգ, ժառանգության բաժանումը կարող է կատարվել միայն նրա ծնվելուց հետո:', 'Անչափահաս ժառանգների դեպքում բաժանման գործընթացին պարտադիր պետք է մասնակցի խնամակալության և հոգաբարձության մարմնի ներկայացուցիչը [Աղբյուր՝ Հոդված 1238]'], 'grounded': False}}"
